AQI,PM2.5,PM10,SO2,NO2,O3,CO,
190,143,173,11,106,8,1.65,
194,146,178,11,103,8,1.69,
202,152,186,11,101,7,1.7,
209,159,183,11,98,7,1.65,
208,158,184,11,94,7,1.59,
208,158,184,11,94,7,1.59,
210,160,180,11,90,8,1.6,
207,157,178,12,86,11,1.53,
210,160,179,12,85,11,1.5,
209,159,181,13,81,16,1.51,
205,155,182,13,80,18,1.54,
203,153,175,13,83,19,1.56,
201,151,174,14,80,30,1.58,
196,147,169,13,82,32,1.52,
190,143,161,12,84,31,1.48,
187,141,163,12,79,39,1.38,
173,131,165,11,76,41,1.24,
173,131,156,11,81,34,1.29,
170,129,153,10,86,27,1.35,
173,131,156,10,94,19,1.35,
177,134,157,10,87,26,1.36,
170,129,155,11,69,37,1.3,
174,132,155,11,54,42,1.15,
164,125,152,11,49,43,1.07,
161,123,143,10,48,41,1.06,
171,130,141,10,45,42,1.07,
177,134,144,10,46,40,1.1,
183,138,149,11,41,45,1.08,
177,134,150,11,40,47,1.09,
167,127,146,11,39,46,1.09,
163,124,140,11,41,42,1.09,
167,127,139,11,41,43,1.02,
173,131,142,10,46,38,1.02,
193,145,145,10,46,38,1.1,
206,156,159,11,43,43,1.2,
210,160,171,12,44,45,1.24,
206,156,175,12,44,51,1.2,
202,152,173,12,45,56,1.34,
187,141,167,12,42,65,1.27,
177,134,156,12,39,76,1.24,
154,118,146,11,34,88,1.02,
134,102,128,10,37,83,1.01,
134,102,116,10,45,67,1.05,
140,107,116,9,47,53,1.09,
145,111,124,8,49,39,1.16,
150,115,131,8,51,32,1.18,
160,122,135,9,58,27,1.19,
197,148,143,9,50,46,1.24,
236,186,168,10,44,57,1.26,
262,212,199,10,44,56,1.26,
268,218,216,9,42,56,1.29,
268,218,221,8,42,52,1.29,
265,215,227,8,39,52,1.29,
260,210,224,8,41,48,1.31,
258,208,223,8,42,45,1.34,
254,204,222,8,48,36,1.35,
250,200,220,8,59,26,1.44,
247,197,219,9,55,33,1.48,
249,199,220,10,50,44,1.45,
248,198,219,11,50,54,1.56,
244,194,213,12,54,65,1.61,
241,191,211,12,53,82,1.62,
235,185,210,11,47,102,1.44,
216,166,198,10,45,115,1.45,
215,165,192,10,49,111,1.42,
217,167,190,10,55,108,1.42,
213,163,186,9,66,91,1.47,
214,164,187,9,89,59,1.66,
222,172,196,8,97,46,1.73,
224,174,204,8,106,34,1.96,
224,174,209,8,110,22,1.94,
214,164,209,9,100,23,1.8,
194,146,196,10,70,42,1.6,
190,143,177,11,56,54,1.5,
187,141,168,10,54,52,1.4,
177,134,162,10,52,48,1.35,
163,124,150,9,53,43,1.26,
149,114,140,8,56,35,1.26,
149,114,137,9,55,31,1.43,
146,112,138,9,55,34,1.36,
141,108,138,9,54,36,1.29,
134,102,132,9,53,41,1.21,
131,100,127,10,51,49,1.2,
129,98,122,10,42,62,1.09,
110,83,106,10,31,77,0.99,
96,72,93,10,26,84,1,
74,54,77,10,25,92,0.96,
73,53,62,9,27,94,0.96,
66,48,53,10,29,95,1,
61,44,55,10,32,91,0.93,
74,54,56,10,39,81,0.94,
73,53,61,10,48,68,1,
81,60,69,10,57,56,1.07,
91,68,85,9,81,27,1.19,
94,70,89,9,85,18,1.17,
99,74,93,9,84,15,1.12,
99,74,95,10,76,13,1.14,
90,67,90,11,64,19,1.18,
80,59,82,11,57,24,1.14,
74,54,74,10,53,24,1.09,
73,53,67,10,53,22,1.03,
65,47,61,10,53,20,1.01,
69,50,60,10,57,15,1.02,
64,46,62,9,66,7,1.08,
68,49,66,10,66,7,1.16,
